视频标题,BVID,用户名,评论内容
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,Ti三亚王Ae黑粉,省流：人熊情未了[星星眼]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,true花生,这个剧情也是越来越神了，你要是一条狗，我还能理解，一头熊会救人，看看日本那边评论怎么说？[喜极而泣]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,埃及的面包,其实跟之前那些米花瘾犯了的神人们比起来，这位已经算是很有理有据的了[笑哭][笑哭]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,2011happy,[笑哭]是我之前看太多逆天动机的问题吗？我觉得这次动机很合理了，母熊救过凶手一命，凶手于是选择保护母熊一家。一报还一报完全没毛病
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,绿牡丹精灵王初音未来,步美、光彦、元太
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,亚瑟摩根ArthurMorga,孩子们，搞定了[笑哭]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,-谢烟客-,不过说实在的，杀人不过头点地，拿幼崽当诱饵属实是缺德了点
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,B站超赚钱3d诈骗服务商,众所周知   柯南动画里的罪行 （故意杀人）<（故意伤害） 死法一个比一个神经    动机一个比一个精神 [笑哭]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,樱吹雪H,有些禽兽，但它们通人性，有些人类，禽兽不如
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,稳阵先生,柯南里的逻辑其实很离谱 为了【保护】而杀人 因为保护某东西，所以杀死企图破坏的人 包括建筑、物品、花园、人物等等。例如王总要把这个公园推了建个商场，公园管理员就王总干掉了，因为这里是这个村所有孩子唯一的公园了，他要守护这里 我尼玛的，凶手自己做地狱判官，反正逆他意思的都得死是吧[笑哭]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,Lv_4,还是老画风带劲，憋的我老柯南瘾都犯了[笑哭]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,李条野泰翔,实际上啥证据都没有[doge]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,CVN80Enterprise,这集印象还挺深的，我记得这熊好像叫十兵卫？
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,祝无忧yoyo,给我看的cpu炸了
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,傻牛,职业刑警一辈子也未见得能遇到十起以上的命案，柯南不但遇到了百余起，而且大多都在现场。[微笑]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,希洛酱呀,竟然还有人兽[笑哭]
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,自zhi音速起子的十三姨,换成东岛丹三郎就是另一个故事
《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,BV1EJ9yBdEEb,明明水青,我那些个熊熊它们个个有情有义🐻
